index,full_name,short_name,description,output_type
1012,ee.Number.exp,exp,Computes the Euler's number e raised to the power of the input.,Number
1013,ee.Array.first,first,"On an element-wise basis, selects the value of the first value.",Array
1014,ee.FeatureCollection.first,first,Returns the first entry from a given collection.,Feature
1015,ee.Image.first,first,"Selects the value of the first value for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
1016,ee.ImageCollection.first,first,Returns the first entry from a given collection.,Image
1017,ee.Number.first,first,Selects the value of the first value.,Number
1018,ee.Array.float,float,"On an element-wise basis, casts the input value to a 32-bit float.",Array
1019,ee.Image.float,float,Casts the input value to a 32-bit float.,Image
1020,ee.Number.float,float,Casts the input value to a 32-bit float.,Number
1021,ee.Array.floor,floor,"On an element-wise basis, computes the largest integer less than or equal to the input.",Array
1022,ee.Image.floor,floor,Computes the largest integer less than or equal to the input.,Image
1023,ee.Number.floor,floor,Computes the largest integer less than or equal to the input.,Number
1024,ee.Date.format,format,Convert a date to string.,String
1025,ee.Number.format,format,Convert a number to a string using printf-style formatting.,String
1026,ee.Array.gamma,gamma,"On an element-wise basis, computes the gamma function of the input.",Array
1027,ee.Image.gamma,gamma,Computes the gamma function of the input.,Image
1028,ee.Number.gamma,gamma,Computes the gamma function of the input.,Number
1029,ee.Array.gammainc,gammainc,"On an element-wise basis, calculates the regularized lower incomplete Gamma function γ(x,a).",Array
1030,ee.Image.gammainc,gammainc,"Calculates the regularized lower incomplete Gamma function γ(x,a) for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is float.",Image
1031,ee.Number.gammainc,gammainc,"Calculates the regularized lower incomplete Gamma function γ(x,a).",Number
1032,ee.FeatureCollection.getDownloadURL,getDownloadURL,"Gets a download URL. When the URL is accessed, the FeatureCollection is downloaded in one of several formats.",Object
1033,ee.Image.getDownloadURL,getDownloadURL,"Get a download URL for small chunks of image data in GeoTIFF or NumPy format. Maximum request size is 32 MB, maximum grid dimension is 10000.",Object
1034,ee.Dictionary.getGeometry,getGeometry,Extracts a named geometry value from a dictionary.,Geometry
1035,ee.List.getGeometry,getGeometry,"Returns the geometry at the specified position in list.  A negative index counts backwards from the end of the list. If the value is not a geometry, an error will occur.",Geometry
1036,ee.data.getThumbId,getThumbId,Get a Thumbnail Id for a given asset.,ThumbnailId
1037,ee.Image.getThumbId,getThumbId,Applies transformations and returns the thumbId.,ThumbnailId
1038,ee.Array.gt,gt,"On an element-wise basis, returns 1 iff the first value is greater than the second.",Array
1039,ee.Image.gt,gt,"Returns 1 iff the first value is greater than the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
1040,ee.Number.gt,gt,Returns 1 iff the first value is greater than the second.,Number
1041,ee.Array.gte,gte,"On an element-wise basis, returns 1 iff the first value is greater than or equal to the second.",Array
1042,ee.Image.gte,gte,"Returns 1 iff the first value is greater than or equal to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
1043,ee.Number.gte,gte,Returns 1 iff the first value is greater than or equal to the second.,Number
1044,ee.Array.hypot,hypot,"On an element-wise basis, calculates the magnitude of the 2D vector [x, y].",Array
1045,ee.Image.hypot,hypot,"Calculates the magnitude of the 2D vector [x, y] for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is float.",Image
1046,ee.Number.hypot,hypot,"Calculates the magnitude of the 2D vector [x, y].",Number
1047,ee.Array.int,int,"On an element-wise basis, casts the input value to a signed 32-bit integer.",Array
1048,ee.Image.int,int,Casts the input value to a signed 32-bit integer.,Image
1049,ee.Number.int,int,Casts the input value to a signed 32-bit integer.,Number
1050,ee.Array.int16,int16,"On an element-wise basis, casts the input value to a signed 16-bit integer.",Array
1051,ee.Image.int16,int16,Casts the input value to a signed 16-bit integer.,Image
1052,ee.Number.int16,int16,Casts the input value to a signed 16-bit integer.,Number
1053,ee.Array.int32,int32,"On an element-wise basis, casts the input value to a signed 32-bit integer.",Array
1054,ee.Image.int32,int32,Casts the input value to a signed 32-bit integer.,Image
1055,ee.Number.int32,int32,Casts the input value to a signed 32-bit integer.,Number
1056,ee.Array.int64,int64,"On an element-wise basis, casts the input value to a signed 64-bit integer.",Array
